#topology for Coronet Network
75
99
1	19	281
1	22	634
2	11	231
2	67	195
3	19	944
3	20	540
3	22	364
3	29	786
4	9	222
4	14	366
4	27	462
5	26	235
5	57	120
6	47	149
6	49	321
6	73	56
7	26	417
7	39	123
8	10	607
8	20	733
8	64	707
9	38	294
9	39	485
10	37	616
11	51	67
12	17	280
12	54	105
13	27	316
13	52	358
14	24	133
15	21	383
15	36	138
15	65	298
16	18	161
16	33	148
16	73	647
17	18	199
17	70	159
18	49	246
19	26	360
19	30	461
19	44	306
20	45	767
20	56	609
21	70	89
22	57	803
22	71	421
23	29	413
23	32	322
23	43	242
24	33	575
24	52	109
24	53	265
25	31	155
25	51	105
27	46	205
28	45	262
28	66	392
28	72	349
29	48	413
29	56	583
30	34	218
31	40	24
32	58	186
32	61	126
33	38	246
33	66	395
34	38	315
35	69	331
35	74	108
36	37	473
37	45	468
39	68	544
40	41	20
40	62	166
40	75	170
41	47	113
42	52	249
42	75	320
43	55	111
43	56	946
43	59	21
44	72	161
46	74	230
47	62	161
48	58	479
48	71	185
49	62	395
50	55	781
50	56	1017
50	63	232
53	73	158
54	67	121
59	60	64
60	61	372
62	67	186
63	64	370
65	66	120
68	69	328
