#{"t_start": 1651446629.8485136, "env_id": "DeepDefragmentation-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,reward,number_movements,number_defragmentation_procedure,number_arrivals,bit_rate_blocking_rate,number_movements_episode,number_defragmentation_procedure_episode,service_blocked_eopisode
87.2,215,0.860026,0.0,0.0,102.19999999999978,157,35,43,0.0,157,35,0
98.8,200,1.825696,0.0,0.0,98.7999999999998,315,73,85,0.0,158,38,0
105.4,200,2.780624,0.0,0.0,105.39999999999975,469,106,131,0.0,154,33,0
106.0,200,3.533672,0.0,0.0,105.99999999999972,634,134,166,0.0,165,28,0
103.924535,200,4.33917,0.024390243902439025,0.004830917874396135,103.92453542118643,794,166,206,0.0074625473405346915,160,32,1
89.597806,200,5.214073,0.0425531914893617,0.011857707509881422,89.59780606478637,948,200,252,0.0191384507424124,154,34,2
89.346914,200,6.261687,0.07142857142857142,0.02040816326530612,89.34691367534816,1107,233,293,0.025034422330704718,159,33,3
71.717385,200,7.273291,0.14583333333333334,0.03812316715542522,71.71738507548605,1260,264,340,0.050587640145410055,153,31,7
79.790347,200,8.181624,0.043478260869565216,0.038860103626943004,79.79034709578902,1415,295,385,0.05323535244934813,155,31,2
97.53275,200,8.983261,0.06818181818181818,0.04195804195804196,97.53275027418543,1572,328,428,0.05871333911147147,157,33,3
99.669586,200,10.813492,0.024390243902439025,0.04051172707889126,99.66958624777669,1732,363,468,0.0577083746048699,160,35,1
71.701028,200,11.540888,0.034482758620689655,0.04024144869215292,71.70102820681633,1904,388,496,0.05753600051863437,172,25,1
104.6,200,12.282757,0.0,0.03802281368821293,104.59999999999974,2075,415,525,0.05453107118992942,171,27,0
92.523898,200,13.031424,0.030303030303030304,0.03763440860215054,92.5238981411695,2243,442,557,0.05391765695429939,168,27,1
88.549255,200,13.768267,0.09090909090909091,0.04067796610169491,88.54925455037221,2411,469,589,0.059263901472060815,168,27,3
65.670973,200,14.470507,0.06060606060606061,0.04180064308681672,65.67097284622851,2579,495,621,0.06101438012601075,168,26,2
68.349941,200,15.187536,0.11428571428571428,0.04573170731707317,68.34994091592121,2745,525,655,0.06784799603914402,166,30,4
81.830343,200,15.971031,0.05714285714285714,0.0463768115942029,81.83034271990256,2911,557,689,0.06866665512605236,166,32,2
91.863953,200,16.787966,0.0625,0.047156726768377254,91.86395291856267,3080,584,720,0.07032076234350862,169,27,2
105.4,200,17.614925,0.0,0.04491413474240423,105.39999999999976,3244,613,756,0.06656149600893077,164,29,0
91.389321,200,19.575444,0.03571428571428571,0.044642857142857144,91.38932132743712,3417,636,783,0.06646338679154343,173,23,1
104.75687,200,20.431614,0.03333333333333333,0.04428044280442804,104.75687029221774,3588,662,812,0.06562923855499,171,26,1
108.0,200,21.242271,0.0,0.04295942720763723,107.9999999999997,3763,684,837,0.06373907583061458,175,22,0
104.4,200,22.03325,0.0,0.04142692750287687,104.39999999999972,3932,712,868,0.062040156065459255,169,28,0
106.4,200,22.820308,0.0,0.04022346368715084,106.39999999999972,4106,736,894,0.06007983943106617,174,24,0
107.8,200,23.655278,0.0,0.039045553145336226,107.79999999999971,4279,759,921,0.05851730161551098,173,23,0
88.051892,200,24.574599,0.027777777777777776,0.038662486938349006,88.05189181712639,4444,791,956,0.05860009021884394,165,32,1
96.08604,200,25.525398,0.03125,0.038461538461538464,96.08603974028216,4613,820,987,0.058200821323478535,169,29,1
56.585522,200,26.515738,0.08571428571428572,0.040117416829745595,56.58552177636397,4779,847,1021,0.06007881391773155,166,27,3
86.683409,200,27.398177,0.11538461538461539,0.04202483285577841,86.68340922182979,4954,872,1046,0.06329578040995597,175,25,3
56.387286,200,29.476161,0.1724137931034483,0.045581395348837206,56.387285896369576,5126,897,1074,0.06899111739363557,172,25,5
105.105422,200,30.246011,0.06666666666666667,0.04591368227731864,105.10542199549286,5312,910,1088,0.06957783279854626,186,13,1
59.882277,200,31.084911,0.041666666666666664,0.045863309352517985,59.882276886441346,5489,930,1111,0.06961541111163484,177,20,1
86.834883,200,31.946262,0.06666666666666667,0.04645048203330412,86.8348826486866,5660,953,1140,0.07077115792230035,171,23,2
78.081198,200,32.827564,0.07142857142857142,0.04708904109589041,78.08119834560551,5833,975,1167,0.07184776563811524,173,22,2
112.4,200,33.596519,0.0,0.0464527027027027,112.39999999999965,6017,989,1183,0.07086858307126721,184,14,0
108.2,200,34.495007,0.0,0.04537953795379538,108.1999999999997,6189,1012,1211,0.0694256694737334,172,23,0
82.556475,200,35.295037,0.16,0.04773462783171521,82.55647464334425,6365,1033,1235,0.0732263052425458,176,21,4
107.4,200,35.983735,0.0,0.046937151949085126,107.3999999999997,6544,1054,1256,0.07195608109193354,179,21,0
81.061485,200,36.672788,0.08,0.047619047619047616,81.06148489310064,6720,1075,1280,0.07297869462505623,176,21,2
60.965191,200,38.425018,0.045454545454545456,0.047619047619047616,60.96519109262347,6899,1092,1301,0.07313271418433782,179,17,1
111.6,200,39.32037,0.0,0.04675716440422323,111.59999999999968,7075,1110,1325,0.0717323047650311,176,18,0
